Id,redfin_url,redfin_value,status,fetched_at
10600237,https://www.redfin.com/MI/Birmingham/1207-Smith-Ave-48009/home/59333965,1050488,ok,2026-05-25T16:55:42.9434081Z
10600239,https://www.redfin.com/MI/Birmingham/1484-Bird-Ave-48009/home/61259930,777509,ok,2026-05-25T16:55:47.7004074Z
10654444,https://www.redfin.com/MI/Birmingham/1407-E-14-Mile-Rd-48009/home/61343079,375264,ok,2026-05-25T16:55:48.5254679Z
10664238,https://www.redfin.com/MI/Birmingham/1564-Penistone-St-48009/home/59331207,480930,ok,2026-05-25T16:55:53.0195844Z
10668421,https://www.redfin.com/MI/Birmingham/2228-Manchester-Rd-48009/home/61211265,462549,ok,2026-05-25T16:55:53.7296715Z
10684480,https://www.redfin.com/MI/Birmingham/615-Oak-Ave-48009/home/61239475,1275825,ok,2026-05-25T16:55:58.5395479Z
10718033,https://www.redfin.com/MI/Birmingham/2792-Dorchester-Rd-48009/home/61192067,1926605,ok,2026-05-25T16:55:59.3104838Z
10721161,https://www.redfin.com/MI/Birmingham/222-W-Lincoln-St-48009/home/61221698,859111,ok,2026-05-25T16:56:03.7480665Z
10732440,https://www.redfin.com/MI/Birmingham/950-Chestnut-St-48009/home/61191514,564940,ok,2026-05-25T16:56:04.9024919Z
10742616,https://www.redfin.com/MI/Birmingham/1183-E-14-Mile-Rd-48009/home/60332446,336961,ok,2026-05-25T16:56:09.4862725Z
10742617,https://www.redfin.com/MI/Birmingham/1205-E-14-Mile-Rd-48009/home/61038523,262725,ok,2026-05-25T16:56:10.1912737Z
10763477,https://www.redfin.com/MI/Birmingham/876-Chester-St-48009/home/61256693,1539757,ok,2026-05-25T16:56:15.2046696Z
10763616,https://www.redfin.com/MI/Birmingham/679-Kimberly-St-48009/home/61256135,868581,ok,2026-05-25T16:56:15.8513699Z
10763649,https://www.redfin.com/MI/Birmingham/909-Pierce-St-48009/home/61259233,2013911,ok,2026-05-25T16:56:20.4430192Z
10763667,https://www.redfin.com/MI/Birmingham/2830-Buckingham-Ave-48009/home/61241775,442509,ok,2026-05-25T16:56:21.1272624Z
10763710,https://www.redfin.com/MI/Birmingham/1555-Ruffner-Ave-48009/home/61144241,969622,ok,2026-05-25T16:56:25.6556171Z
10766976,https://www.redfin.com/MI/Birmingham/1322-Edgewood-Rd-48009/home/99208099,1041198,ok,2026-05-25T16:56:26.2949049Z
10767029,https://www.redfin.com/MI/Birmingham/990-W-Southlawn-Blvd-48009/home/99207106,716972,ok,2026-05-25T16:56:31.4173322Z
10790181,https://www.redfin.com/MI/Birmingham/1451-Bennaville-Ave-48009/home/61186312,555079,ok,2026-05-25T16:56:32.1637796Z
